Id	Workflow Name/File	Tree?	searchSpace	# operators	# edges	# blocking edges	Top-down Exhaustive	Bottom-up Exhaustive	Bottom-up - Top-down	00111-searchFinished	00111-numStates	00111-OSEPCost	01111-searchFinished	Top-down Greedy	Bottom-up Greedy	Bottom-up Greedy - Top-down Greedy	01111-numStates	01111-OSEPCost	10111-searchFinished	10111-numStates	10111-OSEPCost	11111-searchFinished	11111-numStates	11111-OSEPCost
1900	KNIME_project3_Vipin	FALSE	38	52	58	20	106	499	393	TRUE	77	95204	TRUE	13	12	-1	8	95204	TRUE	453	95204	TRUE	7	200805
904	credit_scorng	FALSE	38	52	58	20	544	1265	721	TRUE	143	109355	TRUE	24	14	-10	9	109355	TRUE	900	109355	TRUE	11	414934
1882	KNIME_KhushiNarang	FALSE	38	52	58	20	329	1230	901	TRUE	142	109752	TRUE	23	11	-12	9	109752	TRUE	903	109752	TRUE	6	165291
1826	KNIME_Building a credit scoring model	FALSE	38	52	58	20	226	1151	925	TRUE	139	109555	TRUE	15	21	6	9	109555	TRUE	904	109555	TRUE	8	220623
902	CREDIT_SCORING Project	FALSE	38	52	58	20	134	536	402	TRUE	78	109522	TRUE	15	11	-4	8	109522	TRUE	453	109522	TRUE	8	220442
898	credit_scoretest	FALSE	38	52	58	20	247	1177	930	TRUE	141	109481	TRUE	19	9	-10	9	109481	TRUE	902	109481	TRUE	5	204012
900	credit_score_model	FALSE	38	52	58	20	298	1160	862	TRUE	136	109550	TRUE	18	13	-5	9	109550	TRUE	900	109550	TRUE	8	321094
2567	Sessional_Credit scoring project	FALSE	38	52	58	20	229	1007	778	TRUE	147	109663	TRUE	14	8	-6	9	109663	TRUE	904	109663	TRUE	6	209667
2210	New Project Credit Score	FALSE	38	52	58	20	256	1074	818	TRUE	141	109350	TRUE	15	8	-7	9	109350	TRUE	904	109350	TRUE	5	114820
2228	Nural_Network	FALSE	38	52	58	20	345	1109	764	TRUE	140	109178	TRUE	23	17	-6	9	109178	TRUE	902	109178	TRUE	8	220223
483	Asssesment Project Credit Scoring	FALSE	38	52	58	20	234	1173	939	TRUE	138	109178	TRUE	14	10	-4	9	109178	TRUE	904	109178	TRUE	6	253775
2346	Project.it	FALSE	38	52	58	20	180	446	266	TRUE	75	109589	TRUE	16	7	-9	8	109589	TRUE	455	109589	TRUE	6	209721
2206	Neuralnetwork_sumandDeviation	FALSE	38	52	58	20	250	1128	878	TRUE	148	109575	TRUE	14	13	-1	9	109575	TRUE	904	109575	TRUE	9	315158
2572	Shivam_kumar_jha_credit_scoring_knime_workflow	FALSE	38	52	58	20	202	914	712	TRUE	145	109325	TRUE	13	9	-4	9	109325	TRUE	903	109325	TRUE	7	303988
